"player_name","player_url","season_injured","injury","injured_since","injured_until","duration","games_missed","club"
"Bryan Ruiz","https://www.transfermarkt.com/bryan-ruiz/profil/spieler/39642","20/21","Corona virus",2020-10-05,2020-10-18,"13 days","2","Costa Rica"
"Bryan Ruiz","https://www.transfermarkt.com/bryan-ruiz/profil/spieler/39642","17/18","Muscle injury",2017-11-06,2017-11-13,"7 days","1","Costa Rica"
"Bryan Ruiz","https://www.transfermarkt.com/bryan-ruiz/profil/spieler/39642","20/21","Corona virus",2020-10-05,2020-10-18,"13 days","2","Costa Rica"
"Bryan Ruiz","https://www.transfermarkt.com/bryan-ruiz/profil/spieler/39642","17/18","Muscle injury",2017-11-06,2017-11-13,"7 days","1","Twente Enschede FC"
"Carlos Sánchez","https://www.transfermarkt.com/carlos-sanchez/profil/spieler/74373","22/23","Torn muscle bundle",2023-03-06,2023-04-10,"35 days","7","CA Peñarol"
"Carlos Sánchez","https://www.transfermarkt.com/carlos-sanchez/profil/spieler/74373","22/23","Torn muscle bundle",2023-02-06,2023-02-14,"8 days","1","CA Peñarol"
"Carlos Sánchez","https://www.transfermarkt.com/carlos-sanchez/profil/spieler/74373","21/22","Ankle injury",2021-09-16,2021-09-22,"6 days","1","Santos FC"
"Carlos Sánchez","https://www.transfermarkt.com/carlos-sanchez/profil/spieler/74373","20/21","Fitness",2021-04-11,2021-06-22,"72 days","22","Santos FC"
"Carlos Sánchez","https://www.transfermarkt.com/carlos-sanchez/profil/spieler/74373","20/21","Cruciate ligament tear",2020-10-02,2021-04-10,"190 days","44","Santos FC"
"Carlos Sánchez","https://www.transfermarkt.com/carlos-sanchez/profil/spieler/74373","19/20","Thigh problems",2019-10-04,2019-10-09,"5 days","1","Santos FC"
"Carlos Sánchez","https://www.transfermarkt.com/carlos-sanchez/profil/spieler/74373","18/19","Muscle injury",2018-09-05,2018-09-12,"7 days","3","Santos FC"
"Carlos Sánchez","https://www.transfermarkt.com/carlos-sanchez/profil/spieler/74373","18/19","Thigh problems",2018-08-10,2018-08-16,"6 days","2","Uruguay"
"Carlos Sánchez","https://www.transfermarkt.com/carlos-sanchez/profil/spieler/74373","22/23","Torn muscle bundle",2023-03-06,2023-04-10,"35 days","7","Uruguay"
"Carlos Sánchez","https://www.transfermarkt.com/carlos-sanchez/profil/spieler/74373","22/23","Torn muscle bundle",2023-02-06,2023-02-14,"8 days","1","CA River Plate"
"Yeferson Soteldo","https://www.transfermarkt.com/yeferson-soteldo/profil/spieler/312294","23/24","Thigh problems",2024-02-01,2024-04-01,"60 days","12","Grêmio Foot-Ball Porto Alegrense"
"Yeferson Soteldo","https://www.transfermarkt.com/yeferson-soteldo/profil/spieler/312294","22/23","Muscle injury",2023-04-30,2023-05-22,"22 days","6","Santos FC"
"Yeferson Soteldo","https://www.transfermarkt.com/yeferson-soteldo/profil/spieler/312294","22/23","Hamstring injury",2022-10-08,2023-01-15,"99 days","11","Santos FC"
"Yeferson Soteldo","https://www.transfermarkt.com/yeferson-soteldo/profil/spieler/312294","18/19","Thigh problems",2018-09-19,2018-09-22,"3 days",NA,"Venezuela"
"Yeferson Soteldo","https://www.transfermarkt.com/yeferson-soteldo/profil/spieler/312294","17/18","Torn muscle bundle",2018-04-30,2018-05-12,"12 days","2","Club Universidad de Chile"
"Yeferson Soteldo","https://www.transfermarkt.com/yeferson-soteldo/profil/spieler/312294","23/24","Thigh problems",2024-02-01,2024-04-01,"60 days","12","Venezuela"
"Rodrygo","https://www.transfermarkt.com/rodrygo/profil/spieler/412363","22/23","Rest",2023-05-12,2023-05-15,"3 days","1","Real Madrid"
"Rodrygo","https://www.transfermarkt.com/rodrygo/profil/spieler/412363","22/23","Rest",2023-05-12,2023-05-15,"3 days","1","Real Madrid"
"Rodrygo","https://www.transfermarkt.com/rodrygo/profil/spieler/412363","22/23","Rest",2023-05-12,2023-05-15,"3 days","1","Real Madrid"
"Rodrygo","https://www.transfermarkt.com/rodrygo/profil/spieler/412363","22/23","Rest",2023-05-12,2023-05-15,"3 days","1","Real Madrid"
"Rodrygo","https://www.transfermarkt.com/rodrygo/profil/spieler/412363","22/23","Left hip flexor problems",2023-02-23,2023-03-01,"6 days","1","Real Madrid"
"Rodrygo","https://www.transfermarkt.com/rodrygo/profil/spieler/412363","22/23","Muscle fatigue",2022-08-09,2022-08-23,"14 days","3","Real Madrid"
"Rodrygo","https://www.transfermarkt.com/rodrygo/profil/spieler/412363","21/22","Corona virus",2021-12-16,2021-12-26,"10 days","2","Real Madrid"
"Rodrygo","https://www.transfermarkt.com/rodrygo/profil/spieler/412363","21/22","Stomach flu",2021-11-28,2021-11-30,"2 days","1","Real Madrid"
"Rodrygo","https://www.transfermarkt.com/rodrygo/profil/spieler/412363","21/22","Hamstring injury",2021-10-31,2021-11-19,"19 days","2","Real Madrid"
"Rodrygo","https://www.transfermarkt.com/rodrygo/profil/spieler/412363","20/21","Hamstring injury",2020-12-24,2021-02-27,"65 days","12","Real Madrid"
"Rodrygo","https://www.transfermarkt.com/rodrygo/profil/spieler/412363","19/20","Hamstring injury",2019-08-14,2019-09-09,"26 days","3","Real Madrid"
"Derlis González","https://www.transfermarkt.com/derlis-gonzalez/profil/spieler/182577","22/23","Knee injury",2023-03-20,2023-07-04,"106 days","20","Olimpia Asunción"
"Derlis González","https://www.transfermarkt.com/derlis-gonzalez/profil/spieler/182577","20/21","Cruciate ligament tear",2020-11-02,2021-05-01,"180 days","29","Olimpia Asunción"
"Derlis González","https://www.transfermarkt.com/derlis-gonzalez/profil/spieler/182577","20/21","Inner ligament injury",2020-11-02,2021-05-01,"180 days","29","Paraguay"
