"player_age","Overall","Wage","Skill Moves","Contract Valid Until","in_squad","expenditure_euros_seller","income_euros_seller","avg_age_in_seller","expenditure_euros_buyer","income_euros_buyer","avg_age_in_buyer","appearances_2022","goals_2022","proyecto_vendedor","transfer_logaritmo","fisico","esfuerzo","balance_buyer","balance_seller","Preferred Foot","is_loan","window","player_position","league_buyer","same_league","valor_league_seller","nacionalidad","salud"
19.0,69.0,0.0,1.0,2025.0,35.0,6.92E7,8.295E7,25.1,6.92E7,1.1012E8,22.6,3.0,0.0,1.0,14.73180128983843,3.0,4.0,4.092E7,1.375E7,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0
25.0,75.0,26000.0,3.0,2025.0,31.0,6.92E7,2.74E7,22.7,6.92E7,1.1012E8,22.6,38.0,4.0,3.0,14.603967918328545,5.0,4.0,4.092E7,-4.18E7,1.0,2.0,1.0,5.0,1.0,1.0,3.0,2.0,3.0
23.0,74.0,8000.0,3.0,2026.0,33.0,6.92E7,2.955E7,23.781851000984613,6.92E7,1.1012E8,22.6,40.0,1.0,3.0,13.815510557964274,1.0,7.0,4.092E7,-3.965E7,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0
21.0,67.0,6000.0,3.0,2026.0,15.0,6.92E7,9.586E7,23.4,6.92E7,1.1012E8,22.6,22.0,2.0,3.0,15.60727002719233,4.0,8.0,4.092E7,2.666E7,2.0,2.0,2.0,12.0,1.0,1.0,3.0,3.0,3.0
24.0,73.0,13000.0,3.0,2024.0,30.0,4.38E7,1.2E7,23.781851000984613,4.38E7,3.78E7,25.3,28.0,12.0,3.0,16.300417207752275,5.0,6.0,-6000000.0,-3.18E7,1.0,2.0,1.0,9.0,1.0,1.0,2.0,3.0,3.0
21.0,68.0,20000.0,2.0,2024.0,17.0,9.545E7,6.673E7,22.3,4.38E7,3.78E7,25.3,40.0,4.0,3.0,16.08763644347361,4.0,5.0,-6000000.0,-2.872E7,1.0,2.0,1.0,4.0,1.0,1.0,3.0,3.0,3.0
25.0,78.0,12000.0,3.0,2024.0,28.0,1.78E8,2.437E8,22.5,4.38E7,3.78E7,25.3,27.99624530663329,4.078848560700876,3.0,15.068273526459642,6.0,3.0,-6000000.0,6.57E7,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0
27.0,68.0,9000.0,3.0,2031.0,21.0,4.38E7,4170000.0,23.781851000984613,4.38E7,3.78E7,25.3,27.99624530663329,4.078848560700876,3.0,14.914122846632385,5.0,4.0,-6000000.0,-3.963E7,1.0,2.0,1.0,9.0,1.0,1.0,3.0,3.0,3.0
28.0,74.0,5000.0,3.0,2025.0,3.0,4.38E7,2500000.0,23.781851000984613,4.38E7,3.78E7,25.3,22.0,0.0,3.0,14.73180128983843,3.0,4.0,-6000000.0,-4.13E7,2.0,2.0,1.0,10.0,1.0,1.0,2.0,3.0,3.0
32.0,78.0,65000.0,3.0,2025.0,18.0,1.195E8,7.05E7,22.6,4.38E7,3.78E7,25.3,36.0,6.0,3.0,14.22097566607244,1.0,7.0,-6000000.0,-4.9E7,2.0,1.0,1.0,7.0,1.0,1.0,3.0,3.0,3.0
